ID_Funcionario,Nombre_Funcionario,Cargo,Organismo,Año_Declaracion,Bienes_Inmuebles_Valor,Bienes_Muebles_Valor,Activos_Financieros_Valor,Pasivos_Valor,Ingresos_Anuales,Variacion_Patrimonial_Porcentaje,Es_Sospechoso
13,Facundo Ezequiel Benitez Lopez,Secretario,Rodriguez-Navarro,2023,853569.6705513705,137348.4138797622,5753.555206612004,94156.38782654716,70109.87582498259,5.792792662667182,0
14,Juan Ignacio Jeronimo Gutierrez,Director,Romero Inc,2024,82413.53423084263,52847.314533295495,115787.57342967902,28035.26772566248,111733.87728631357,2.9074585721295594,0
15,Ema Escobar Mansilla,Asesor,Medina-Perez,2020,1151492.582782978,259409.1537487227,6579.212713373084,61468.76680515313,59180.10113091588,38.340397804648205,0
16,Pedro Sanchez,Director,"Acuña, Aguirre and Lopez",2024,1018916.4738852789,497291.7656747167,186657.0366668649,89753.80944030055,158217.59749085456,33.00707027110128,0
17,Luciana Lopez,Director,Gomez and Sons,2024,1389933.3250072303,206131.4794547704,179989.31250675677,88088.83219325518,152969.07973813187,28.926937636309546,0
18,Santiago Felicitas Avila,Secretario,Sosa-Peralta,2020,792674.6109607149,240230.0032695529,163186.54381969164,6002.407056655923,100234.87386104035,17.318434806416846,0
19,Lucas Sosa Guzman,Director,"Rodriguez, Gutierrez and Diaz",2023,218610.06292343227,308669.440962756,100112.30119215843,75015.22898910572,157827.3845613956,12.447971079317496,0
20,Dr(a). Abigail Silva,Director,"Miranda, Maldonado and Farias",2022,677842.302242681,446180.60154577973,214180.68038001994,38485.505240539496,88543.45798685859,18.35818012012381,0
21,Isabella Fernandez Figueroa,Asesor,Romero Ltd,2020,413128.2410007374,325371.4564365299,294630.77747809706,78482.81068545133,183871.4344908233,47.71131018653043,0
22,Victoria Gael Cardozo,Ministro,"Toledo, Gutierrez and Juarez",2022,984809.8427586323,29066.76414353171,230361.76509536806,83258.09748182732,127054.26926967913,45.719016737369465,0
23,Sr(a). Thiago Villalba,Asesor,Fernandez Ltd,2020,1281889.5317304966,183312.30690897044,9662.3297211495,1600.3422352111052,130447.92566208106,5.249811635096443,0
24,Jazmin Maximo Godoy Molina,Asesor,Fernandez-Escobar,2024,797425.0372809491,473666.4489388145,20737.71690600319,77726.14124441189,75145.02214818863,5.845528048854842,0
25,Dr(a). Candelaria Lopez,Ministro,"Romero, Perez and Herrera",2020,978726.9562050311,104961.59736325023,174547.3567907733,83534.12881136063,127893.92572468368,15.822019562807856,0
26,Guillermina Rodriguez,Director,"Mendez, Rodriguez and Martinez",2021,516171.7667356252,30703.29566631308,61873.4147082162,48632.64540681679,147459.61918781325,5.4697535768686,0
27,Sr(a). Pedro Lopez,Secretario,Alvarez LLC,2022,1331964.2071667793,202862.91593239713,122340.41599706844,48550.601029581456,109204.67647932217,41.2130753199696,0
28,Dante Gonzalez Acosta,Ministro,Silva Inc,2023,48360.00889345904,58304.23677737567,183818.52324566012,2438.3308989517795,170998.25035558204,25.560129991331916,0
29,Maria Victoria Bautista Rodriguez Quiroga,Asesor,"Coronel, Castillo and Flores",2021,845312.4503673777,281133.17634533916,24302.28736527924,48086.89188292195,59275.697433715126,45.05300061364059,0
30,Dr(a). Juan Pablo Correa,Ministro,Romero-Franco,2023,697260.0476253208,62731.48136975315,10394.683724171195,7809.276502968654,133406.08177736594,-0.785577489517729,0
31,Renata Gomez,Ministro,Perez-Aguero,2024,547851.3354034149,49175.20627081856,177733.23714600966,21045.090268744083,162229.30654601462,6.680727405624848,0
32,Tomas Castro,Ministro,Roldan-Rodriguez,2022,311170.5677528767,184226.95339084417,46347.29623743612,7852.3553808726665,150170.34628442576,9.507258937965057,0
33,Carmela Rios Vargas,Secretario,Guzman PLC,2021,213435.77484469727,122797.03331094871,268125.7128573696,3424.7408219202134,173492.51510659498,31.521617021112604,0
34,Lucía Alma Valentina Ruiz,Secretario,Fernandez-Rodriguez,2022,659185.9284718327,273054.50297730725,255067.03071814915,8280.604508245304,188874.29172154152,-9.555034112070352,0
35,Alejo Juan Ignacio Acosta Rivero,Secretario,Carrizo-Escobar,2020,324504.5864933758,332422.6712020204,69094.84390587942,46992.73624089752,100357.5959701344,48.43011077251296,0
36,Valentino Garcia,Director,"Paz, Leiva and Godoy",2021,401881.74091867043,183868.25838826477,284193.08769610355,53132.09649021118,116687.67007808473,47.30176912383648,0
37,Juan Pablo Nuñez,Secretario,Godoy-Soto,2021,606238.5803726952,419844.9470903552,189937.10909278525,10695.796864071539,137026.27535990358,49.420385354893384,0
38,Valentina  Juan Cruz Castillo Paez,Ministro,Lucero PLC,2020,1339039.0485873937,145226.01546643526,299456.3813930031,61363.50540943047,184315.21906389578,15.8682520033845,0
39,Dr(a). León Quiroga,Director,Romero Inc,2021,918589.107180111,137518.64228948345,15706.904882456174,38893.82826790238,165198.44005023,11.280119576180036,0
40,Joaquin Delfina Molina Silva,Director,"Rios, Molina and Pereyra",2021,680450.2160807509,44840.52320930965,217236.1406266838,38412.39637504952,123216.215645636,-3.0434888508152085,0
41,Bianca Ramiro Suarez Gomez,Asesor,Cardozo-Rojas,2020,371061.677598431,145373.27944609875,13883.106979719007,87577.19343058478,115370.72461634828,36.799421683027624,0
42,Dr(a). Mia Ruiz,Director,Perez-Rodriguez,2020,1098313.7109241516,457088.2945928808,241528.80199485284,72549.3128214677,83815.01831472266,13.011210235311035,0
43,Dr(a). Juan Bautista Duarte,Asesor,"Garcia, Castillo and Gomez",2022,1446711.946224567,48245.114450261695,102644.82089564062,12498.997814707924,172400.67486258858,-1.4433836054636453,0
44,Dr(a). Manuel Perez,Secretario,Suarez-Aguirre,2021,1122222.6387775461,478953.4088591247,257089.38122296482,61457.451254654894,73895.05408419449,6.1669949267150965,0
45,Santino Emma Aguero Maidana,Secretario,"Gonzalez, Peralta and Pereyra",2020,155193.4678858165,484763.73919115635,38988.62614722399,32064.558020464883,56588.28942170651,15.396450528757708,0
46,Sr(a). Benjamin Coronel,Ministro,Arias-Gimenez,2021,783126.7262297855,52024.61357524007,87470.71823093804,14000.740358447516,149290.1863508601,-6.538625681956667,0
47,Lorenzo Sofía Garcia Gomez,Asesor,Farias Ltd,2021,440136.19071473484,408650.12406567606,98828.30294193243,46720.5503992371,56804.457815556176,19.73193532488291,0
48,Tiziano Benjamin Duarte,Asesor,Lopez Ltd,2020,399279.1229093997,168345.57888234154,42123.18018232957,64224.279129724746,51830.30795452136,0.47073219146648165,0
49,Guillermina Nuñez,Secretario,Gomez LLC,2022,398839.693961814,406457.29224029783,230778.49626481486,49135.25186037566,69032.20247895051,30.4769014683827,0
50,Sr(a). Juan Ignacio Juarez,Asesor,"Hernandez, Cruz and Blanco",2021,433730.57855786884,103044.17534195693,158624.0421050772,75023.83236706977,160320.05072910455,-2.836657140604543,0
51,Juan Cruz Carrizo,Asesor,"Cabrera, Gutierrez and Sanchez",2020,1201626.261234153,313242.46165511693,188698.185251542,23375.038634672783,178092.15190579585,44.251010042114345,0
52,Tomàs Francisco Maldonado,Secretario,Pereyra Inc,2020,631815.1212701196,114108.72786051096,70809.06103809644,68591.36283630294,130688.88737767072,27.3921424348296,0
53,Juana Sofía Moyano Ruiz,Asesor,Bravo Group,2022,907883.070835374,240157.46397907118,43061.70602773021,42835.95656016437,124554.51854882759,23.158405197319833,0
54,Elena Garcia,Asesor,Alvarez and Sons,2020,625302.2648052718,398222.98684299097,6890.6483013636,25899.157951593133,111616.85713228324,10.871830610045969,0
55,Simon Ignacio Silva,Ministro,Duarte PLC,2023,1358700.9393929674,73859.96036571918,3909.1085768162,75457.08802875683,103276.30557331812,17.47492042420531,0
56,Ignacio Maria Emilia Hernandez,Ministro,"Fernandez, Gomez and Martinez",2023,476314.1756801634,339079.0413049097,159017.94022557169,24213.31614926163,174492.35693348033,18.76566955804012,0
57,Delfina Gonzalez,Secretario,Leiva LLC,2023,1224032.3303671172,181220.63368653806,31963.11972718037,35532.93149900456,81676.29686493058,-6.946091707369456,0
58,Victoria Garcia,Director,Figueroa PLC,2021,275827.6209069041,172590.79538567478,289980.36850020156,4112.434767437867,50571.82695030794,25.062374085623805,0
59,Martina Sanchez,Ministro,"Dominguez, Torres and Flores",2024,271780.0511883668,65767.09339284275,156196.37744377012,15919.842318037625,156286.35198647346,48.5220097303605,0
60,Emilia Rodriguez Perez,Asesor,Rodriguez and Sons,2022,1463707.2548897257,5156.867012564959,15605.604349115398,39386.257035783434,61856.43330355159,46.77886690350319,0
61,Dr(a). Valentino Fernandez,Secretario,"Lopez, Flores and Moyano",2023,899086.7463146419,400726.2381805346,30042.26417582835,29017.07644546053,161422.67599827764,-3.1695303151149754,0
62,Candela Mia Valentina Garcia,Director,Flores-Medina,2020,1299364.6560225477,89255.06943365802,6774.84962721836,91917.061244964,102515.8377031672,1.0824878394536706,0
63,Juana Martinez,Ministro,Gonzalez Group,2021,658648.074543831,289703.65193965234,42415.983727206716,99972.26784989235,193254.1053522835,-3.450269190212457,0
64,Joaquin Sofia Belen Figueroa Herrera,Ministro,Cruz-Acosta,2022,251733.13529783863,335720.78334378795,171556.44597858872,82159.48161564647,139297.7397439325,9.515321691919757,0
65,Sr(a). Franco Herrera,Asesor,Gonzalez Ltd,2023,860757.98305333,109445.94424891035,134823.10770646317,91446.38711060659,179781.27993100532,18.600693034379415,0
66,Abril Florencia Fernandez Garcia,Director,Muñoz Ltd,2021,560174.917201912,491999.3314190725,195333.68478404224,23088.68613549503,136445.74798562465,28.00901997989469,0
67,Antonella Campos Campos,Asesor,Sanchez Group,2021,314455.6405587949,357187.1390696411,284552.33607877675,96240.98651536732,137005.3971120736,27.02520383170223,0
68,Isabella Perez Quiroga,Secretario,Benitez Inc,2020,531609.7702169166,115456.29464316292,34821.06590496625,59983.37445221118,180088.02273685634,12.405980220050683,0
69,Lautaro Gabriel Alma Lopez Molina,Ministro,Cordoba-Aguero,2024,1156972.156029858,105468.93524955359,112406.97459689528,84793.66778980655,184940.53758860158,38.820079061597404,0
70,Emilia Isabella Cardozo,Asesor,Castro Ltd,2022,294846.31335692934,31297.117057143052,18773.186192745972,52105.93639491513,140473.78392680472,9.115393294396595,0
