ID_Caso,Fecha_Inicio,Tipo_Causa,Estado_Actual,Juzgado,Partes,Materia,Fecha_Ultima_Movimiento,Tiempo_Proceso_Dias,Fallo,Instancia,Tiene_Recurso,Documentos_Adjuntos
11,2023-05-06,Comercial,Apelación,Juzgado 5 de Corrientes,Juana Victoria Lopez vs. Abigail Garcia Diaz,Daños y Perjuicios,2023-10-21 12:43:22.881469,168,Conciliación,Corte Suprema,No,48
12,2023-01-20,Comercial,Pendiente de Juicio,Juzgado 16 de Viedma,Alma Valentina Gomez Suarez vs. Lourdes Torres,Robo,2025-03-21 04:17:34.440407,791,Sin Definir,Corte Suprema,No,33
13,2022-05-20,Penal,Apelación,Juzgado 8 de La Plata,Thiago Benjamin Emilia Correa vs. Tomàs Juan Cruz Lopez,Daños y Perjuicios,2025-02-04 04:17:15.691188,991,Sin Definir,Corte Suprema,Sí,23
14,2020-05-21,Penal,En Curso,Juzgado 17 de Salta,Ramiro Quiroga vs. Genaro Camila Martinez,Robo,2024-05-02 06:57:16.648836,1442,Sin Definir,Cámara de Apelaciones,No,0
15,2022-09-01,Civil,En Curso,Juzgado 3 de Mendoza,Emilia Aguirre Gonzalez vs. Sr(a). Sofia Fernandez,Despido,2022-10-30 03:05:02.835062,59,Conciliación,Cámara de Apelaciones,Sí,26
16,2022-10-13,Comercial,Ejecución,Juzgado 5 de Comodoro Rivadavia,Isabella Juan Bautista Vargas vs. Thiago Ezequiel Rodriguez Alvarez,Despido,2023-12-09 09:37:37.395679,422,Sin Definir,Cámara de Apelaciones,No,8
17,2023-03-25,Laboral,Pendiente de Juicio,Juzgado 9 de Posadas,Amparo Moyano vs. Lucas Mateo Benjamin Nuñez,Despido,2023-06-29 19:31:31.876561,96,Desfavorable,Corte Suprema,No,4
18,2021-12-21,Civil,Ejecución,Juzgado 19 de Constitución,Morena Toledo Gomez vs. Lautaro Alvarez Martinez,Robo,2022-12-29 03:26:23.952750,373,Conciliación,Primera Instancia,Sí,39
19,2022-01-05,Penal,En Curso,Juzgado 6 de San Ferando del Valle de Catamarca,Santino Ponce Carrizo vs. Lautaro Nahuel Gonzalez Morales,Quiebra,2024-02-17 06:56:27.509307,773,Desfavorable,Cámara de Apelaciones,Sí,20
20,2023-04-19,Penal,Apelación,Juzgado 17 de San Salvador de Jujuy,Juan Ignacio Facundo Romero vs. Tomas Aguirre,Daños y Perjuicios,2024-01-29 16:41:05.855806,285,Sin Definir,Corte Suprema,No,42
21,2024-10-18,Laboral,Pendiente de Juicio,Juzgado 18 de Santa Rosa,Francisco Ortiz Mansilla vs. Delfina Juan Francisco Dominguez Vera,Robo,2025-02-13 21:41:05.771831,118,Desfavorable,Corte Suprema,Sí,17
22,2022-10-12,Civil,Apelación,Juzgado 6 de Constitución,Benicio Santiago Vargas Garcia vs. Santino Benjamin Acuña Sosa,Quiebra,2022-11-27 11:28:14.927495,46,Sin Definir,Primera Instancia,Sí,48
23,2023-08-14,Penal,Ejecución,Juzgado 16 de San Ferando del Valle de Catamarca,Luz Maria Rios vs. Dr(a). Constanza Gimenez,Despido,2024-11-04 10:00:16.830211,448,Desfavorable,Corte Suprema,No,27
24,2024-05-02,Laboral,En Curso,Juzgado 2 de Posadas,Renata Ledesma vs. Miguel Angel Cordoba,Robo,2025-01-02 21:42:36.807221,245,Desfavorable,Cámara de Apelaciones,Sí,37
25,2022-07-22,Comercial,Apelación,Juzgado 16 de Mendoza,Sr(a). Valentino Gonzalez vs. Felipe Ramirez Rodriguez,Daños y Perjuicios,2023-12-08 19:41:14.912266,504,Favorable,Corte Suprema,Sí,5
26,2023-02-20,Penal,Ejecución,Juzgado 18 de Rawson,Thiago Martinez Lucero vs. Sr(a). Martina Bustos,Robo,2024-07-07 14:53:25.958170,503,Sin Definir,Cámara de Apelaciones,No,36
27,2021-09-30,Civil,Apelación,Juzgado 7 de La Plata,Sr(a). Benicio Cruz vs. Josefina Toledo Figueroa,Despido,2021-12-26 22:40:23.573558,87,Desfavorable,Primera Instancia,Sí,23
28,2023-06-12,Penal,Apelación,Juzgado 4 de Mendoza,Jeremias Thiago Nicolas Gonzalez vs. Tomas Benjamin Santiago Paez,Robo,2025-02-15 01:25:02.830752,614,Sin Definir,Cámara de Apelaciones,Sí,22
29,2024-05-31,Laboral,Pendiente de Juicio,Juzgado 19 de La Rioja,Sr(a). Benjamin Perez vs. Ivan Torres Gomez,Robo,2024-06-11 17:49:24.508781,11,Favorable,Cámara de Apelaciones,Sí,18
30,2021-03-30,Civil,Ejecución,Juzgado 5 de Rosario,Felipe Alvarez Paz vs. Charo Vazquez Luna,Quiebra,2021-09-04 05:26:56.728156,158,Favorable,Corte Suprema,Sí,14
