ID_Usuario,Nombre,Email,Direccion,CUIT,Es_Cuenta_Falsa
user_32,Tomàs Joaquin Muñoz,dominguezmaria-emilia@example.com,"Calle San Juan N° 954 Local 1
Neuquén 8300, Neuquén",263-76-5517,1
user_33,Dr(a). Alma Mia Herrera,gael46@example.net,"Calle 6 N° 9918
Neuquén 8300, Neuquén",158-57-0654,0
user_34,Gabriel Mateo Godoy,kbravo@example.net,"Avenida Mendoza N° 69 Oficina 1
La Rioja 5300, La Rioja",860-71-1715,1
user_35,Renata Nuñez Sosa,cruzsofia@example.net,"Camino Salta N° 691 Torre 3 Dto. 3
Mar del Plata 7600, Buenos Aires",460-13-2292,1
user_36,Sr(a). Ana Paula Diaz,taguirre@example.org,"Av. Mitre N° 614 Piso 4 Dto. 4
Chilecito 5360, La Rioja",439-41-4892,0
user_37,Emma Ramos Lucero,rroldan@example.org,"Avenida Córdoba N° 772 Oficina 1
Paraná 3100, Entre Ríos",165-37-7078,0
user_38,Tobias Juan Sebastian Medina,rojasthiago-benjamin@example.org,"Avenida Corrientes N° 786 Piso 3 Dto. 3
Ushuaia 9410, Tierra del Fuego",894-57-7513,1
user_39,Julieta Gonzalez Hernandez,lojeda@example.org,"Avenida 2 N° 117
Comodoro Rivadavia 9000, Chubut",249-02-8477,1
user_40,Valentina  Pereyra Silva,juan-martinmoyano@example.com,"Boulevard San Salvador de Jujuy N° 431 Piso 7 Dto. 5
San Salvador de Jujuy 4600, Jujuy",337-90-3107,0
user_41,Lucía Carrizo Vera,ramiro64@example.net,"Calle 7 N° 2161 Torre 7 Dto. 6
La Plata 1900, Buenos Aires",813-33-2438,1
user_42,Dr(a). Valentina Gimenez,frodriguez@example.net,"Av. Ushuaia N° 934 Local 4
San Salvador de Jujuy 4600, Jujuy",038-10-9522,0
user_43,Bianca Morena Perez Cordoba,ruizlautaro-ezequiel@example.org,"Diag. 8 N° 635
Salta 4400, Salta",509-50-7629,1
user_44,Francisco Micaela Martinez,jcorrea@example.org,"Av. Formosa N° 996 Local 52
Viedma 8500, Río Negro",308-60-3186,0
user_45,Ciro Santino Farias Gomez,mendozaisabella@example.net,"Avenida 2 N° 35
Rosario 2000, Santa Fe",398-33-9745,0
user_46,Juan Ignacio Lucía Rodriguez Suarez,felipe89@example.org,"Blv. Misiones N° 33 Dto. 4
La Rioja 5300, La Rioja",201-28-5583,0
user_47,Dante Genaro Soria Rodriguez,isabella38@example.org,"Calle 6 N° 91 Torre 8 Dto. 5
Rosario 2000, Santa Fe",562-35-1079,1
user_48,Pedro Silva Gomez,lunabenjamin@example.net,"Av. Catamarca N° 893
San Luis 5700, San Luis",513-05-7371,1
user_49,Alma Martinez Juarez,bautista65@example.com,"Av. 2 N° 26 Local 4
Mar del Plata 7600, Buenos Aires",065-53-6840,0
