ID_Caso,Fecha_Inicio,Tipo_Contrato,Entidad_Publica,Empresa_Privada,Monto_Contrato,Descripcion_Servicio,Estado_Contrato,Funcionario_Publico,Relacion_Funcionario_Empresa,Pagos_Realizados,Monto_Pagado,Informacion_Adicional,Sospecha_Corrupcion
11,2022-12-22,Suministro,Municipalidad de Viedma,Caceres Inc,670186.2627037024,Ipsam quisquam incidunt eaque quas odit vero atque molestias autem error expedita.,En Curso,Dr(a). Franco Godoy,Amistad,9,739302.3250591396,Veniam fugiat aut ex. Atque quae vel quidem cumque.,0
12,2025-02-13,Consultoría,Municipalidad de Neuquén,Diaz LLC,223626.4244175168,Minima necessitatibus quis qui quibusdam natus sapiente mollitia laudantium quis.,En Curso,Sr(a). Alma Nuñez,Familiar,6,116005.2060653269,,0
13,2022-07-17,Obra Pública,Municipalidad de Bahía Blanca,Gomez-Pereyra,540979.9205760402,Corporis rerum praesentium minima repellat dolore ratione delectus commodi aspernatur nobis ipsam illum.,Rescindido,Nicolas Muñoz,Ninguna,9,890307.2191926789,,0
14,2024-07-19,Consultoría,Gobierno de Salta,"Dominguez, Alvarez and Franco",623625.5308221063,Natus necessitatibus aliquid voluptatem rerum quis architecto earum doloribus ea corporis autem voluptas maiores possimus ipsa dolorem quod ab.,Pendiente,Dr(a). Joaquin Mendoza,Ninguna,5,352624.55796291766,,0
15,2023-12-11,Suministro,Gobierno de Bahía Blanca,Arias Ltd,653999.1948977388,Sequi assumenda autem unde animi excepturi modi soluta harum quod aut nisi possimus.,En Curso,Gael Delfina Ramirez Aguirre,Interés Económico,5,108662.66436405697,,0
16,2024-07-01,Obra Pública,Municipalidad de Formosa,"Cruz, Martinez and Paez",493385.79084726237,Libero assumenda est blanditiis laborum nesciunt odio quia officia quidem unde rerum recusandae odit ab cupiditate.,Finalizado,Thiago Ayala Lucero,Ninguna,3,595087.345229985,,0
17,2024-10-16,Suministro,Municipalidad de Corrientes,Molina LLC,107751.57513898102,Magni nesciunt expedita laboriosam voluptatibus assumenda tempore qui doloribus et esse tempore temporibus repellat suscipit nobis velit.,En Curso,Emilia Flores Benitez,Interés Económico,4,173545.89337395653,,0
18,2023-10-13,Obra Pública,Gobierno de Ushuaia,Coronel PLC,438064.6687028143,Nisi quo numquam aliquam numquam cumque totam dignissimos ab earum.,En Curso,Joaquín Benjamin Villalba Diaz,Interés Económico,1,603203.7650388498,Voluptate dolor magnam neque eos voluptate.,0
19,2023-03-16,Suministro,Gobierno de Santa Rosa,Fernandez-Flores,141763.44168555544,Ea dolores distinctio laborum dolorum nesciunt iusto eius blanditiis recusandae iure tenetur quas illo quisquam ipsa corporis magni sint.,Pendiente,Mateo Romero,Amistad,5,834711.8231076918,Praesentium minus minus odio dolore expedita.,0
20,2023-01-08,Suministro,Municipalidad de San Juan,"Pereyra, Ramirez and Cardozo",215355.00730544174,Commodi odio dolor quasi qui modi itaque sint alias reiciendis numquam aspernatur earum ad maiores quis mollitia molestias.,Finalizado,Ludmila Diaz Gonzalez,Familiar,8,493977.2149993022,,0
21,2023-07-19,Suministro,Gobierno de Formosa,Fernandez-Maldonado,500050.9448609599,Aliquam tempora aliquid officia dolores a aut beatae ad quaerat explicabo error ex ipsum esse a officiis a corrupti.,Finalizado,Abril Malena Torres,Familiar,3,75426.6768762943,,0
22,2023-12-20,Consultoría,Gobierno de Constitución,Bravo LLC,241212.21721371752,Iste id nostrum voluptas magni vel consequuntur perspiciatis temporibus.,Pendiente,Facundo Santino Diaz Carrizo,Amistad,4,768134.2811471687,Debitis delectus possimus doloribus iure.,0
23,2023-02-01,Consultoría,Municipalidad de Córdoba,Aguero Group,450623.4592896818,Vitae nam ut quibusdam ex nesciunt id voluptatum dolores minima porro quasi.,En Curso,Francisco Abigail Vera,Ninguna,4,791188.7445289686,Necessitatibus omnis maiores aperiam tempora. Voluptates sunt ea.,0
24,2022-10-22,Obra Pública,Municipalidad de Constitución,Gimenez-Acosta,659543.6886943198,Assumenda perferendis ipsum aspernatur beatae doloribus ea harum nostrum neque repellendus rerum quas commodi alias deleniti iste debitis pariatur earum eaque.,En Curso,Maria Paz Alvarez Quiroga,Interés Económico,5,321803.69726235484,,0
25,2023-11-26,Servicios,Gobierno de Rawson,Gomez-Garcia,221912.54427453122,Tenetur magnam vel eum error eius aliquid unde blanditiis provident ratione repudiandae sunt praesentium.,En Curso,Dr(a). Milo Gomez,Interés Económico,2,685710.9993937566,,0
26,2023-02-14,Obra Pública,Gobierno de Río Gallegos,"Rios, Flores and Lopez",159589.14894486582,Repudiandae dolore maxime id maxime inventore itaque nihil veritatis magnam maxime nesciunt nihil quae esse non.,Rescindido,Simon Ruiz,Amistad,3,719282.8640332596,,0
27,2023-10-27,Obra Pública,Municipalidad de Constitución,"Lopez, Sanchez and Diaz",258010.02475129237,Ex deleniti id illo nisi consequatur ipsa placeat quos est ratione possimus explicabo accusantium id consequuntur facere id.,Rescindido,Benjamin Ezequiel Gomez Vega,Familiar,0,239089.85492462153,Ipsa hic inventore ipsam explicabo alias optio sapiente.,0
28,2025-03-13,Consultoría,Municipalidad de San Luis,Perez Group,943690.9297652435,Dolor voluptas reiciendis voluptatum quaerat quos fuga suscipit excepturi consequuntur nulla.,En Curso,Alma Garcia Caceres,Amistad,4,804512.2331187231,Optio mollitia nesciunt a consequuntur voluptatum.,0
29,2024-10-23,Obra Pública,Gobierno de Córdoba,Vargas Ltd,665784.3416910113,Magni vitae magni neque sequi nesciunt aut voluptas necessitatibus consectetur.,Rescindido,Juan Ignacio Giuliana Farias Ojeda,Ninguna,0,552382.798625909,,0
30,2024-09-18,Obra Pública,Municipalidad de Santa Fe,Rojas-Gonzalez,50669.20639461246,Deleniti aliquam tenetur temporibus vitae cupiditate repellat odit eum quasi aspernatur natus unde atque facere deserunt ad inventore soluta mollitia.,Pendiente,Emma Vazquez,Amistad,4,316938.5755873595,,0
31,2024-05-02,Suministro,Gobierno de Neuquén,"Rojas, Gutierrez and Maldonado",863282.9785941403,Sunt vitae corporis minima facilis magni voluptates doloremque quisquam autem eos dignissimos numquam delectus.,Rescindido,Guillermina Duarte Ruiz,Familiar,4,277833.5788178873,Deleniti nesciunt necessitatibus numquam incidunt.,0
32,2025-01-24,Consultoría,Gobierno de Comodoro Rivadavia,Medina-Arias,188019.49034832345,Exercitationem necessitatibus tempora exercitationem deleniti eaque quaerat fugiat cumque nesciunt magni ad similique perspiciatis incidunt.,Finalizado,Dr(a). Benjamin Diaz,Ninguna,1,343613.51812866714,,0
33,2022-12-24,Suministro,Municipalidad de Rawson,Romero-Castro,570918.5782424621,Dolores necessitatibus praesentium eligendi quae ipsa cumque temporibus error esse totam quibusdam a omnis nisi distinctio optio quis minus tempora.,Rescindido,Abril Carrizo,Familiar,0,440934.0998808367,,0
34,2024-11-19,Servicios,Gobierno de Resistencia,Paz and Sons,35054.0781338739,Facere aut laboriosam sit incidunt assumenda assumenda similique deleniti dolorem voluptates aliquid dolores nemo in eius cumque eligendi optio accusamus quasi.,Pendiente,Sr(a). Malena Sanchez,Amistad,7,15528.015477157405,Nisi est occaecati quae suscipit. Earum et voluptas possimus omnis.,0
35,2023-04-13,Servicios,Gobierno de Formosa,Perez-Nuñez,906810.8026245851,Aliquam provident sapiente provident at repellat nam ut placeat dolorum praesentium.,Rescindido,Dr(a). Milo Blanco,Amistad,6,609071.5116412066,,0
36,2024-10-11,Obra Pública,Gobierno de Rawson,"Navarro, Mendez and Gonzalez",546003.8176259715,Deleniti distinctio ratione asperiores ratione reiciendis modi modi aliquid laudantium numquam.,Pendiente,Dr(a). Juana Guzman,Amistad,4,894884.2044732826,,0
37,2025-01-31,Suministro,Municipalidad de Neuquén,Fernandez-Dominguez,750239.389647789,Sunt velit eos architecto dolorem earum sequi id unde aspernatur occaecati nulla.,Pendiente,Renata Pedro Ferreyra Farias,Interés Económico,7,479128.5649169489,Officia eligendi amet quisquam nostrum rem dolorum.,0
38,2023-04-09,Consultoría,Gobierno de Mar del Plata,Vera LLC,811250.1914551972,Voluptas corrupti accusamus totam perferendis blanditiis cupiditate minima quia qui.,En Curso,Delfina Mateo Sanchez Gonzalez,Amistad,0,44391.34110864044,,0
39,2022-08-11,Servicios,Gobierno de Merlo,Diaz-Sosa,445728.25374793296,Repudiandae aliquam voluptatibus quidem maiores possimus consectetur vitae vitae beatae accusamus reiciendis.,En Curso,Malena Gutierrez,Amistad,3,187014.11189237362,Commodi asperiores odio explicabo mollitia cupiditate nobis.,0
40,2024-04-25,Obra Pública,Gobierno de San Miguel de Tucumán,"Medina, Rodriguez and Mendoza",932760.886813628,Odit aut quod asperiores odit illum expedita fuga autem earum debitis dolores delectus ab doloremque pariatur a voluptate.,Finalizado,Mateo Ezequiel Diaz Rodriguez,Amistad,3,769605.3319053443,,0
41,2023-10-31,Consultoría,Gobierno de Santiago del Estero,"Peralta, Maldonado and Cabrera",636374.373814481,Blanditiis laborum fuga in impedit sit doloribus voluptate inventore possimus et quasi rerum laboriosam sint voluptas.,Finalizado,Candela Zoe Jazmin Gonzalez,Interés Económico,5,707663.1225754647,Qui dicta nihil eius illo nam.,0
42,2023-12-24,Suministro,Gobierno de Posadas,Gomez-Villalba,148725.712118315,Vel ea iure iste ad veritatis eius magni cumque accusantium laborum voluptas.,Finalizado,Clara Gonzalez,Interés Económico,8,809199.6708849028,Delectus doloribus placeat minima facere.,0
43,2022-09-29,Consultoría,Gobierno de San Ferando del Valle de Catamarca,"Acuña, Cordoba and Bravo",290889.3671321882,Ipsa magnam occaecati inventore amet quaerat quisquam occaecati dolor non nam natus velit autem deleniti nihil.,Finalizado,Sr(a). Dante Moreno,Amistad,3,457080.2507968263,Commodi sequi expedita nostrum cumque. Reprehenderit illo fuga placeat omnis.,0
44,2023-07-01,Obra Pública,Municipalidad de San Luis,Gonzalez-Garcia,495479.3799593691,Sequi nihil a non esse repellendus molestias recusandae voluptatibus ducimus error dignissimos.,Finalizado,Bautista Benjamin Rodriguez Benitez,Interés Económico,7,678233.1403150513,Occaecati libero numquam distinctio incidunt iusto distinctio.,0
45,2024-05-27,Obra Pública,Municipalidad de Corrientes,"Nuñez, Diaz and Sosa",726061.1044752939,Ut praesentium explicabo veniam deserunt suscipit magni tenetur quidem perspiciatis architecto optio tenetur ipsam quam officia occaecati.,Finalizado,Thiago Agustin Lucero Sanchez,Interés Económico,4,59105.91081306447,,0
46,2024-10-10,Servicios,Gobierno de Santa Rosa,Cordoba and Sons,904845.4768132151,Deserunt quisquam corrupti consequatur itaque deleniti aspernatur ea ipsa rem necessitatibus voluptate optio corrupti harum.,Rescindido,Juana Fernandez,Interés Económico,2,285814.12558886706,Laudantium natus minus tenetur tenetur neque asperiores.,0
47,2024-07-18,Obra Pública,Municipalidad de Constitución,"Duarte, Fernandez and Mansilla",606036.5970349121,Earum omnis sapiente quam perspiciatis corporis maiores repellendus error reiciendis quisquam nihil quia ratione non.,Pendiente,Maximiliano Castro,Amistad,1,631249.1880158593,,0
48,2023-11-16,Obra Pública,Gobierno de Comodoro Rivadavia,Fernandez Inc,357961.60177348804,Quos illo laborum tempora tempore voluptas dolore eius distinctio.,Pendiente,Sr(a). Mora Escobar,Ninguna,8,519620.9019814515,,0
49,2022-07-15,Suministro,Gobierno de Rawson,Escobar-Garcia,275899.93719107326,Consectetur cupiditate qui distinctio tenetur voluptatibus debitis nam voluptatibus non voluptates laudantium consequuntur.,Finalizado,Santino Ramirez Molina,Amistad,4,259333.99470765228,,0
50,2022-12-12,Obra Pública,Municipalidad de San Juan,Navarro-Martinez,959710.8343360882,Accusamus voluptatibus est quis expedita non accusantium voluptas minus voluptate optio a.,Pendiente,Ian Benjamin Sanchez Rodriguez,Interés Económico,3,899263.8876105227,,0
51,2024-05-16,Servicios,Municipalidad de Santa Fe,Gonzalez-Rodriguez,44520.00505204406,Fugiat nobis earum natus temporibus doloribus vero nam autem.,Finalizado,Dr(a). Constanza Soria,Interés Económico,3,830842.8733063,Veritatis commodi maxime corporis veritatis eaque sunt facilis.,0
52,2023-07-05,Servicios,Gobierno de Santa Rosa,"Castillo, Medina and Flores",87609.82909826863,Excepturi omnis ea dolorem nostrum laboriosam dolores recusandae reiciendis cum officia cumque.,Pendiente,Bianca Pereyra Ayala,Amistad,9,485822.6962769367,Quis est pariatur qui enim velit eos pariatur.,0
53,2023-05-16,Servicios,Municipalidad de Merlo,Peralta-Gonzalez,209703.52377614446,Repellat architecto libero inventore ratione dolore quam ut quidem nam asperiores excepturi aliquid modi.,Finalizado,Guillermina Julian Ponce,Familiar,7,388107.01436609763,,0
54,2024-08-15,Suministro,Gobierno de San Ferando del Valle de Catamarca,Morales-Miranda,816095.0349012624,Culpa officia ad enim maxime eos unde deserunt ipsam iure quo vero officia explicabo vitae repellat blanditiis ex.,Pendiente,Constanza Peralta,Interés Económico,5,41540.468307649186,Placeat veniam corrupti dolor dicta illo veniam saepe.,0
55,2024-11-13,Servicios,Gobierno de Constitución,Arias LLC,589214.3831695232,Doloremque quod iste esse alias tenetur tempore itaque suscipit sequi aperiam iure culpa corporis voluptates nam velit quibusdam cum.,En Curso,Uma  Santino Gonzalez Ruiz,Familiar,5,397712.85098251735,,0
56,2023-08-08,Servicios,Gobierno de Santiago del Estero,Soria Ltd,518209.0220037041,Eum totam quis laborum quaerat cum tempore culpa aliquid fuga mollitia esse eligendi enim repellat ea.,En Curso,Bianca Rojas Romero,Ninguna,3,765943.9797251757,,0
57,2023-09-22,Consultoría,Gobierno de Comodoro Rivadavia,Correa and Sons,198767.51386171274,Nulla quis cupiditate mollitia sed eum rem quos impedit aut mollitia autem blanditiis at in.,Pendiente,Valentino Santiago Ruiz,Interés Económico,5,127196.52436984927,,0
58,2024-12-28,Servicios,Gobierno de Mar del Plata,Flores-Romero,232917.1916345161,Delectus exercitationem laborum atque explicabo veniam ad debitis occaecati exercitationem dolore maxime est adipisci ducimus velit excepturi excepturi deleniti error.,En Curso,Salvador Velazquez Caceres,Ninguna,1,371507.43190377636,,0
59,2024-04-28,Suministro,Municipalidad de Neuquén,Cabrera-Diaz,212077.8843355201,Laborum ea hic explicabo dicta repellendus nihil illum vero rerum laboriosam dignissimos nihil saepe reiciendis id sit ipsum consequatur eos.,Pendiente,Benjamin Uma Vargas,Interés Económico,4,180647.57960266186,,0
60,2023-10-21,Suministro,Municipalidad de Viedma,Castillo Ltd,760587.464018113,Numquam totam officia adipisci odio omnis harum deserunt accusantium iste amet voluptate beatae aperiam assumenda quam fugiat modi aspernatur esse.,En Curso,Sr(a). Valentino Diaz,Interés Económico,9,11060.062080518652,,0
61,2023-10-09,Obra Pública,Municipalidad de Rawson,Martinez-Diaz,924684.5370058608,Iure porro repellat ea porro fugit ab iste nam libero.,En Curso,Sr(a). Gino Suarez,Familiar,1,315098.6991298333,Ut nobis molestiae eaque occaecati omnis culpa.,0
62,2022-06-06,Servicios,Gobierno de Ushuaia,Romero-Paz,656453.0097295169,Unde molestiae illo quod voluptatibus harum quam voluptatum maxime iste laudantium necessitatibus.,Rescindido,Dr(a). Maria Belen Silva,Amistad,0,97724.93618520176,,0
63,2022-07-21,Suministro,Municipalidad de Merlo,Martin-Romero,601170.6705828863,Quaerat eaque unde suscipit quia nulla laudantium sint sed sunt.,Rescindido,Maria Luz Ledesma,Amistad,2,802960.9446253012,Suscipit consequatur molestiae dicta sequi.,0
64,2024-06-15,Servicios,Gobierno de Formosa,Fernandez Ltd,800366.1165534721,Dolore recusandae libero saepe recusandae dolore magni a nihil.,En Curso,Abril Catalina Diaz,Interés Económico,6,608448.0878482735,,0
65,2024-04-05,Suministro,Gobierno de San Salvador de Jujuy,Fernandez-Perez,145645.38519437533,Dicta facere dicta corrupti fugit iusto hic nam magni aliquam deserunt doloremque laborum aperiam doloremque quasi.,En Curso,Tiziano Guzman Pereyra,Amistad,8,32563.750941275983,Provident repudiandae numquam eveniet maiores. Dolorem accusamus omnis nobis.,0
66,2023-03-23,Obra Pública,Municipalidad de San Ferando del Valle de Catamarca,Silva-Lopez,883946.0967278503,Expedita aliquid facere praesentium in necessitatibus est vero inventore doloremque labore ut a fuga consectetur ad asperiores pariatur sequi.,Pendiente,Valentino Joaquin Perez,Interés Económico,0,308790.9176561112,,0
67,2024-05-16,Servicios,Gobierno de San Juan,Gonzalez-Sanchez,804445.0946024237,Deserunt quod aut quod laborum hic ex id tempora culpa repellat quod.,Pendiente,Victoria Romero,Interés Económico,9,326844.97607720183,Enim nam quasi dignissimos aut delectus. Modi aut animi doloribus eius.,0
68,2022-08-26,Servicios,Gobierno de Bahía Blanca,Ojeda-Lopez,348291.73875683936,Suscipit mollitia accusantium excepturi ipsum quis soluta facere similique quo dolorum quaerat aliquam.,Pendiente,Valentina Lorenzo Gomez,Ninguna,8,729473.8758523149,Aperiam magni eius vel impedit ducimus. Aut architecto cum esse atque maxime.,0
69,2023-02-12,Suministro,Municipalidad de Chilecito,"Romero, Ledesma and Flores",802766.4589552998,At cum sequi quo eligendi minima sit ratione iusto officia consequuntur.,Finalizado,Santiago Benjamin Amparo Caceres Diaz,Amistad,1,895793.7375935237,,0
70,2025-03-08,Consultoría,Gobierno de Santa Rosa,Hernandez-Fernandez,284557.58092444413,Repellendus quos enim laudantium sit ex quibusdam blanditiis saepe doloribus consequatur nisi.,Pendiente,Sr(a). Ignacio Diaz,Interés Económico,5,569321.2705409827,Beatae dignissimos temporibus labore.,0
71,2023-08-26,Consultoría,Gobierno de Mendoza,Duarte Inc,431004.45906665904,Dolore incidunt a unde accusamus officiis aperiam possimus nobis.,Pendiente,Lucas Joaquin Pereyra Garcia,Amistad,3,253230.3950723034,,0
72,2022-11-28,Servicios,Municipalidad de Comodoro Rivadavia,Morales-Vera,373217.4887969954,Voluptas numquam eos quos alias ipsum architecto consectetur temporibus.,Rescindido,Santino Alma Martinez Juarez,Interés Económico,3,799187.5405644659,Repellendus blanditiis sit. Cum voluptas recusandae quod reiciendis placeat.,0
73,2023-09-03,Servicios,Gobierno de Mar del Plata,Rojas-Gonzalez,632452.9102720135,Aspernatur eveniet minima delectus optio ipsa rerum nihil tenetur illo aut est maxime nihil culpa qui.,En Curso,Dr(a). Thiago Gabriel Correa,Interés Económico,4,539143.1620508102,,0
74,2022-05-20,Servicios,Municipalidad de Comodoro Rivadavia,Perez LLC,37874.456422086296,Aperiam nemo omnis vel at cum modi consequatur nihil fuga culpa tempora quo.,Finalizado,Juan Manuel Josefina Gonzalez Caceres,Amistad,0,575983.173741513,,0
75,2022-12-13,Obra Pública,Municipalidad de Neuquén,Castro-Herrera,143235.14059555298,Suscipit dolorum ratione possimus illo maiores nemo vero quasi aliquam ipsum explicabo accusantium deserunt esse perspiciatis quo magnam.,Pendiente,Benjamin Mia Fernandez Gonzalez,Interés Económico,6,894631.959451646,,0
76,2024-01-22,Servicios,Gobierno de Salta,Olivera-Silva,650794.1287284394,Natus labore dolore placeat iure earum ex eum corporis quos ex quisquam delectus natus repudiandae incidunt esse beatae distinctio distinctio.,Finalizado,Dr(a). Nina Villalba,Amistad,1,8968.23536271598,,0
77,2024-02-22,Servicios,Gobierno de Córdoba,"Aguirre, Rios and Castro",310975.6432792078,Nisi maiores tenetur distinctio nemo non eligendi fugiat consequuntur temporibus rem accusantium nisi ut.,Rescindido,Luna Vargas,Interés Económico,9,412217.02573098405,,0
78,2022-08-21,Consultoría,Gobierno de Posadas,Ramirez-Fernandez,351894.4053132675,Ducimus ipsam similique consectetur labore esse sunt nesciunt perspiciatis consectetur soluta nesciunt occaecati enim placeat unde.,En Curso,Camila Isabel Mendoza,Interés Económico,6,824472.0415364136,,0
79,2024-04-19,Obra Pública,Gobierno de Rawson,Paz-Muñoz,342912.7687502473,Minus quisquam ipsum itaque tempore odit eaque consectetur ipsam quidem ipsam nostrum velit cumque rerum modi.,Rescindido,Genaro Acosta Acosta,Amistad,7,721554.5801110103,,0
80,2024-01-13,Servicios,Municipalidad de Posadas,"Olivera, Ramirez and Soria",262774.9857594366,Aperiam reiciendis minima ipsum odit ea assumenda numquam harum tempora distinctio.,Finalizado,Olivia Valentin Cardozo,Familiar,0,186416.5306466726,,0
81,2024-10-24,Consultoría,Gobierno de Corrientes,Correa Ltd,570495.0514113999,Soluta consequatur corrupti accusamus a inventore harum tempore sint id ducimus quidem perferendis culpa voluptatum perspiciatis placeat quam laudantium.,Rescindido,Isabella Sanchez,Familiar,9,616809.5102268992,,0
82,2023-08-14,Consultoría,Gobierno de Santa Rosa,Acosta-Romero,575705.8354918656,Nostrum facilis eum culpa omnis repellat assumenda est nihil quas perferendis recusandae cupiditate quibusdam necessitatibus corrupti ab.,Finalizado,Ian Francesca Diaz Ayala,Amistad,5,137244.5844673747,Voluptatum dolorem velit esse distinctio. Eos ullam dolor iste.,0
83,2024-01-27,Suministro,Municipalidad de San Juan,Flores-Peralta,318003.1385412782,Accusamus incidunt similique vel minus iusto ad consectetur doloribus dignissimos atque dignissimos ipsum occaecati quisquam suscipit.,Pendiente,Valentin Camilo Ramos,Amistad,4,285048.58009613445,,0
84,2024-07-11,Suministro,Municipalidad de Formosa,Lopez-Martinez,113507.4897179491,Tempora aspernatur repudiandae ipsum porro blanditiis delectus architecto amet.,En Curso,Lautaro Ema Quiroga Ramos,Ninguna,6,381613.0225125019,,0
85,2022-06-30,Consultoría,Gobierno de Mar del Plata,Alvarez Ltd,609094.6891435707,Nobis perferendis iure minima hic consequatur quam deleniti quasi aliquid illo nam corporis quae nobis dignissimos placeat sunt unde.,Finalizado,Francisco Catalina Coronel Juarez,Ninguna,6,753157.4567241488,Inventore voluptatem deleniti reprehenderit minima tempore.,0
86,2024-10-13,Consultoría,Gobierno de Rosario,Vega-Rodriguez,46540.82927275404,Quas eveniet dolorem magni praesentium excepturi perferendis tempore aliquid et beatae exercitationem labore.,Rescindido,Santiago Santino Campos Cordoba,Interés Económico,1,860551.4739877542,At laudantium fuga. Fugiat dolor ipsa consectetur eum nam molestias inventore.,0
87,2023-10-25,Consultoría,Municipalidad de San Ferando del Valle de Catamarca,"Medina, Garcia and Fernandez",79950.21186685338,Quos natus dolores quo aliquam quidem maxime corporis nobis maiores quia neque maxime et quod atque est at eum sunt.,Finalizado,Emilia Abigail Suarez,Familiar,5,27030.307966952005,,0
88,2023-10-04,Obra Pública,Gobierno de Formosa,Soto-Vargas,806655.9700984233,Magnam libero officiis omnis atque officia consequuntur natus tempore soluta tempore nemo officia.,Pendiente,Thiago Agustin Maria Paz Garcia,Ninguna,7,439177.5715283933,,0
89,2023-08-15,Obra Pública,Gobierno de San Miguel de Tucumán,"Romero, Ruiz and Ledesma",321418.9131406831,Quas tempora mollitia amet sapiente quasi tenetur asperiores totam quae ratione eos placeat placeat blanditiis harum facilis.,En Curso,Emma Maite Mendez,Amistad,4,575853.5575166659,,0
90,2023-01-05,Servicios,Municipalidad de Córdoba,Diaz Inc,934332.9453086982,Est dolor quos optio nobis odio placeat nam excepturi tenetur vero expedita facere occaecati accusamus iure neque.,Rescindido,Florencia Antonella Gonzalez Carrizo,Familiar,2,842553.0691741096,,0
91,2023-12-05,Suministro,Municipalidad de Chilecito,Villalba Ltd,177958.77515629804,Ea impedit laborum veniam laboriosam est quisquam repellat molestiae libero.,Finalizado,Isabella Guzman Rodriguez,Familiar,0,77944.89193247684,,0
92,2023-02-25,Consultoría,Gobierno de Ushuaia,"Blanco, Romero and Ojeda",907303.249021197,Sapiente asperiores deleniti modi quia ratione beatae sint ducimus ratione placeat exercitationem dignissimos reprehenderit quod ipsa ipsum blanditiis vitae.,Finalizado,Francesca Perez,Familiar,7,187605.8172480512,,0
93,2023-06-25,Servicios,Gobierno de San Ferando del Valle de Catamarca,Gomez Inc,298152.75545804756,Praesentium molestias voluptate voluptate dolorem enim nesciunt unde beatae velit fuga sed in doloribus explicabo sed dicta facere nulla vero reprehenderit.,Finalizado,Thiago Benjamin Maria Victoria Vargas,Interés Económico,3,317922.32391053456,,0
94,2022-11-01,Consultoría,Gobierno de Posadas,"Silva, Gomez and Lopez",352717.8362203026,Voluptas soluta quo accusamus molestias animi recusandae deserunt velit quia ratione labore sit ipsum pariatur porro.,Finalizado,Mateo Guillermina Cabrera Caceres,Interés Económico,9,804613.81190098,Quod doloremque iusto. Quaerat ex omnis officiis perferendis.,0
95,2024-10-09,Servicios,Gobierno de Córdoba,Benitez PLC,359264.97266942874,Blanditiis maiores fugit blanditiis doloribus dolor a numquam eveniet aperiam numquam corrupti.,Finalizado,Catalina Milagros Ruiz Garcia,Interés Económico,4,530696.500112861,,0
