ID_Caso,Fecha_Inicio,Tipo_Causa,Estado_Actual,Juzgado,Partes,Materia,Fecha_Ultima_Movimiento,Tiempo_Proceso_Dias,Fallo,Instancia,Tiene_Recurso,Documentos_Adjuntos
21,2020-09-01,Penal,En Curso,Juzgado 9 de Formosa,Abril Benicio Sanchez vs. Salvador Sanchez,Quiebra,2023-11-15 02:54:45.499493,1170,Sin Definir,Cámara de Apelaciones,No,3
22,2020-10-18,Penal,En Curso,Juzgado 13 de Rosario,Emma Valentin Suarez vs. Sr(a). Ivan Sanchez,Robo,2021-05-08 10:43:40.533593,202,Conciliación,Cámara de Apelaciones,No,38
23,2022-11-17,Civil,Apelación,Juzgado 15 de Formosa,Francesca Diaz Muñoz vs. Dr(a). Francisco Fernandez,Quiebra,2024-05-01 23:58:40.685821,531,Favorable,Corte Suprema,Sí,1
24,2020-10-25,Civil,En Curso,Juzgado 18 de Formosa,Valentina  Isabella Maidana vs. Emma Rojas Morales,Robo,2022-02-10 04:55:10.123470,473,Sin Definir,Primera Instancia,Sí,29
25,2024-09-22,Laboral,Pendiente de Juicio,Juzgado 6 de La Rioja,Lourdes Sofia Gomez vs. Facundo Aguirre Rivero,Quiebra,2025-04-03 19:05:52.377089,193,Desfavorable,Corte Suprema,Sí,45
26,2021-11-19,Penal,Apelación,Juzgado 17 de Merlo,Candelaria Thiago Rodriguez vs. Mia Jazmin Ramos,Despido,2024-01-30 16:52:08.219789,802,Conciliación,Cámara de Apelaciones,Sí,28
27,2024-06-26,Comercial,Apelación,Juzgado 15 de Constitución,Thiago Lionel Bruno Gomez Roldan vs. Thiago Benjamin Milo Romero,Robo,2024-11-24 12:53:56.656336,151,Conciliación,Corte Suprema,Sí,9
28,2020-11-09,Penal,En Curso,Juzgado 2 de Rawson,Valentina  Blanco vs. Florencia Emilia Mendez,Daños y Perjuicios,2021-08-03 10:10:26.115033,267,Sin Definir,Corte Suprema,No,44
29,2020-10-21,Civil,Pendiente de Juicio,Juzgado 6 de Santa Fe,Benjamin Ponce vs. Valentino Francisco Navarro Torres,Quiebra,2024-06-25 14:19:22.477984,1343,Conciliación,Corte Suprema,Sí,26
30,2024-06-14,Comercial,Ejecución,Juzgado 1 de Salta,Renata Matias Martinez vs. Paloma Morena Perez,Robo,2025-02-01 00:29:51.886490,232,Sin Definir,Primera Instancia,Sí,44
